Name,title,,,,,,,,namespace,wiki,url,edit_count,characters_added,references_added,new,deleted,pageviews,pageviews_link
Alicia Dujovne Ortiz  ,Alicia,Dujovne,Ortiz,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Alicia_Dujovne_Ortiz,1,39,39,FALSE,FALSE,32,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Alicia_Dujovne_Ortiz
Allen Paulson   ,Allen,Paulson,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Allen_Paulson,2,349,349,FALSE,FALSE,7551,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Allen_Paulson
Alma Levant Hayden  ,Alma,Levant,Hayden,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Alma_Levant_Hayden,1,0,-2159,FALSE,FALSE,3755,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Alma_Levant_Hayden
Alma Preinkert   ,Alma,Preinkert,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Alma_Preinkert,1,46,46,FALSE,FALSE,271,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Alma_Preinkert
Alma Webster Hall Powell ,Alma,Webster,Hall,Powell,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Alma_Webster_Hall_Powell,28,20248,20114,TRUE,FALSE,1992,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Alma_Webster_Hall_Powell
Amelia Bennett   ,Amelia,Bennett,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amelia_Bennett,2,1393,1393,TRUE,FALSE,147,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amelia_Bennett
Amelia Tilghman   ,Amelia,Tilghman,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amelia_Tilghman,1,24,24,FALSE,FALSE,100,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amelia_Tilghman
Amelia Yeomans   ,Amelia,Yeomans,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amelia_Yeomans,6,4590,4440,TRUE,FALSE,201,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amelia_Yeomans
Amina Pollard   ,Amina,Pollard,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amina_Pollard,16,11025,10995,TRUE,FALSE,106,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amina_Pollard
Ammi Williams   ,Ammi,Williams,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Ammi_Williams,1,0,-9,FALSE,FALSE,65,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Ammi_Williams
Amos Dean   ,Amos,Dean,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amos_Dean,1,46,46,FALSE,FALSE,86,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amos_Dean
Amos Noyes Currier  ,Amos,Noyes,Currier,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amos_Noyes_Currier,1,45,45,FALSE,FALSE,20,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amos_Noyes_Currier
Amy Davis   ,Amy,Davis,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amy_Davis,1,5,5,FALSE,FALSE,473,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amy_Davis
Amy Jacot Guillarmod  ,Amy,Jacot,Guillarmod,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amy_Jacot_Guillarmod,1,32,32,FALSE,FALSE,121,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amy_Jacot_Guillarmod
Amy Rosemond   ,Amy,Rosemond,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amy_Rosemond,4,1628,1628,FALSE,FALSE,244,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amy_Rosemond
Amy Simon   ,Amy,Simon,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amy_Simon,2,44,44,FALSE,FALSE,1890,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amy_Simon
Amy Wax   ,Amy,Wax,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Amy_Wax,1,0,-4145,FALSE,FALSE,70479,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Amy_Wax
Andrea Gore   ,Andrea,Gore,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Andrea_Gore,1,241,241,FALSE,FALSE,497,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Andrea_Gore
Andrea Williams   ,Andrea,Williams,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Andrea_Williams,1,1499,1499,TRUE,FALSE,220,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Andrea_Williams
Andreina Gómez   ,Andreina,Gómez,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Andreina_Gómez,2,173,147,FALSE,FALSE,218,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Andreina_Gómez
Ann Haven Morgan  ,Ann,Haven,Morgan,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Ann_Haven_Morgan,1,32,32,FALSE,FALSE,317,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Ann_Haven_Morgan
Ann Z. Caracristi  ,Ann,Z.,Caracristi,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Ann_Z._Caracristi,6,1401,1401,FALSE,FALSE,3259,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Ann_Z._Caracristi
Anna Biller   ,Anna,Biller,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anna_Biller,3,619,619,FALSE,FALSE,5612,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anna_Biller
Anna Howard Shaw  ,Anna,Howard,Shaw,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anna_Howard_Shaw,1,0,-2,FALSE,FALSE,8835,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anna_Howard_Shaw
Anna M. Kross  ,Anna,M.,Kross,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anna_M._Kross,4,4404,4404,TRUE,FALSE,214,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anna_M._Kross
Anna Maria Thelott  ,Anna,Maria,Thelott,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anna_Maria_Thelott,1,0,0,FALSE,FALSE,31,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anna_Maria_Thelott
Anna Maria Weems  ,Anna,Maria,Weems,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anna_Maria_Weems,2,46,-2,FALSE,FALSE,37,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anna_Maria_Weems
Anne Anastasi   ,Anne,Anastasi,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anne_Anastasi,8,5720,5719,FALSE,FALSE,1105,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anne_Anastasi
