Anni Albers   ,,0,en.wikipedia.org,3,815,815,FALSE,FALSE,78194
Annie Bonza   ,,0,en.wikipedia.org,2,29,29,FALSE,FALSE,41
Annie Briard   ,,0,en.wikipedia.org,28,4836,4766,TRUE,FALSE,749
Annie Chu   ,,0,en.wikipedia.org,1,42,42,FALSE,FALSE,619
Annie Easley   ,,0,en.wikipedia.org,2,66,66,FALSE,FALSE,1815
Annie Leibovitz   ,,0,en.wikipedia.org,2,1182,1182,FALSE,FALSE,32240
Annie Pootoogook   ,,0,en.wikipedia.org,7,653,653,FALSE,FALSE,731
Annie Stebler-Hopf   ,,0,en.wikipedia.org,2,1854,1854,TRUE,FALSE,0
Annie Wu (businesswoman)  ,,0,en.wikipedia.org,2,64,64,FALSE,FALSE,136
Anthony Barboza   ,,0,en.wikipedia.org,1,1176,1176,FALSE,FALSE,352
Anthony J. DePace  ,,0,en.wikipedia.org,1,93,93,FALSE,FALSE,310
Antigua and Barbuda  ,,0,en.wikipedia.org,1,0,-353,FALSE,FALSE,50839
Antoine Camilleri (artist)  ,,0,en.wikipedia.org,1,250,250,FALSE,FALSE,1549
Antonieta Figueroa   ,,0,en.wikipedia.org,10,3541,3150,TRUE,FALSE,17
Antonine Maillet   ,,0,en.wikipedia.org,15,1056,1003,FALSE,FALSE,1236
Anuradha Vikram   ,,0,en.wikipedia.org,12,4226,4224,TRUE,FALSE,127
April Greiman   ,,0,en.wikipedia.org,1,0,-4,FALSE,FALSE,1572
April Hickox   ,,0,en.wikipedia.org,1,511,511,FALSE,FALSE,72
Aram Han Sifuentes  ,,0,en.wikipedia.org,2,1699,1699,FALSE,FALSE,486
Aram Sifuentes   ,,0,en.wikipedia.org,1,49,49,TRUE,FALSE,3
Araya Rasdjarmrearnsook   ,,0,en.wikipedia.org,1,2268,2268,FALSE,FALSE,1572
Ariane Laroux   ,,0,en.wikipedia.org,18,820,-2093,FALSE,FALSE,61
Arielle Greenberg   ,,0,en.wikipedia.org,1,58,58,FALSE,FALSE,63
Ariko Inaoka   ,,0,en.wikipedia.org,1,469,469,FALSE,FALSE,131
Arlen Siu   ,,0,en.wikipedia.org,1,17,17,FALSE,FALSE,565
Arlene Shechet   ,,0,en.wikipedia.org,3,476,476,FALSE,FALSE,4113
Arlene Textaqueen   ,,0,en.wikipedia.org,1,0,0,FALSE,FALSE,29
Arnold Drury   ,,0,en.wikipedia.org,1,31,31,FALSE,FALSE,21
Arondizuogu    ,,0,en.wikipedia.org,1,452,452,FALSE,FALSE,852
Arpita Singh   ,,0,en.wikipedia.org,3,3577,3522,FALSE,FALSE,13954
Asha de Vos  ,,0,en.wikipedia.org,2,809,809,FALSE,FALSE,8601
Ashwani Mahajan   ,,0,en.wikipedia.org,1,0,-1355,FALSE,FALSE,402
Astrid Stavro   ,,0,en.wikipedia.org,7,4298,4298,FALSE,FALSE,2045
Athi-Patra Ruga   ,,0,en.wikipedia.org,1,383,383,FALSE,FALSE,166
Ato Malinda   ,,0,en.wikipedia.org,1,43,43,TRUE,FALSE,6
Atta Kwami   ,,0,en.wikipedia.org,6,4693,1886,TRUE,FALSE,65
Au Hoi Lam  ,,0,en.wikipedia.org,2,1472,1472,FALSE,FALSE,108
Audrey Tang   ,,0,en.wikipedia.org,1,29,29,FALSE,FALSE,47608
Augusta Savage   ,,0,en.wikipedia.org,1,815,815,FALSE,FALSE,40259
Avantika Bawa   ,,0,en.wikipedia.org,16,1144,1135,FALSE,FALSE,71
Avis Higgs   ,,0,en.wikipedia.org,6,1033,665,FALSE,FALSE,36
Aviva Rahmani   ,,0,en.wikipedia.org,1,950,950,FALSE,FALSE,2120
Axeltree    ,,0,en.wikipedia.org,1,0,-45,FALSE,FALSE,49
Aya Kanno   ,,0,en.wikipedia.org,2,80,80,FALSE,FALSE,200
Ayana V. Jackson  ,,0,en.wikipedia.org,1,397,397,FALSE,FALSE,11862
Ayanah Moor   ,,0,en.wikipedia.org,1,331,331,FALSE,FALSE,843
Ayoka Chenzira   ,,0,en.wikipedia.org,2,539,538,FALSE,FALSE,2582
Azealia Banks   ,,0,en.wikipedia.org,1,25,25,FALSE,FALSE,66296
Babz Chula   ,,0,en.wikipedia.org,4,821,821,FALSE,FALSE,649
Barb Hunt   ,,0,en.wikipedia.org,1,1266,1266,FALSE,FALSE,38
Barbara Benedek   ,,0,en.wikipedia.org,17,3926,3926,TRUE,FALSE,281
Barbara Bestor   ,,0,en.wikipedia.org,1,41,41,FALSE,FALSE,2667
Barbara Blondeau   ,,0,en.wikipedia.org,3,14538,14505,FALSE,FALSE,664
Barbara Bloom (artist)  ,,0,en.wikipedia.org,1,0,-45,FALSE,FALSE,3527
Barbara Bosworth   ,,0,en.wikipedia.org,2,442,442,FALSE,FALSE,338
Barbara Brandon-Croft   ,,0,en.wikipedia.org,1,724,724,FALSE,FALSE,96
Barbara Chase-Riboud   ,,0,en.wikipedia.org,1,31,31,FALSE,FALSE,5759
Barbara DuMetz   ,,0,en.wikipedia.org,3,4,3,FALSE,FALSE,288
Barbara Earl Thomas  ,,0,en.wikipedia.org,1,0,-55,FALSE,FALSE,449
Barbara Jones-Hogu   ,,0,en.wikipedia.org,1,834,834,FALSE,FALSE,2302
Barbara Kopple   ,,0,en.wikipedia.org,2,368,368,FALSE,FALSE,21493
Barbara Kruger   ,,0,en.wikipedia.org,2,929,929,FALSE,FALSE,216027
Barbara Loden   ,,0,en.wikipedia.org,2,509,509,FALSE,FALSE,3525
Barbara McCullough   ,,0,en.wikipedia.org,1,0,-4,FALSE,FALSE,315
Barbara Nessim   ,,0,en.wikipedia.org,1,84,84,FALSE,FALSE,152
Barbara Zeigler   ,,0,en.wikipedia.org,11,6877,5586,FALSE,FALSE,46
Barbara Zucker   ,,0,en.wikipedia.org,1,4,4,FALSE,FALSE,74
Barry Sanders (professor)  ,,0,en.wikipedia.org,1,0,-6,FALSE,FALSE,210
Baseera Khan   ,,0,en.wikipedia.org,9,627,303,FALSE,FALSE,1606
Beatrice Mandelman   ,,0,en.wikipedia.org,3,507,507,FALSE,FALSE,71
Beatrice Winser   ,,0,en.wikipedia.org,2,928,928,FALSE,FALSE,27
Beatrice Wood   ,,0,en.wikipedia.org,1,1088,1088,FALSE,FALSE,4582
Beatriz Mejia-Krumbein   ,,0,en.wikipedia.org,13,3006,2964,TRUE,FALSE,37
Becky Hammon   ,,0,en.wikipedia.org,11,2621,2621,FALSE,FALSE,217536
Belinda Harrow   ,,0,en.wikipedia.org,1,3667,3667,TRUE,FALSE,87
Bell hooks   ,,0,en.wikipedia.org,1,81,81,FALSE,FALSE,97920
Benedetta Cappa   ,,0,en.wikipedia.org,4,7747,7742,FALSE,FALSE,528
Bennett Foddy   ,,0,en.wikipedia.org,1,0,-58,FALSE,FALSE,11028
Benny Andrews   ,,0,en.wikipedia.org,4,19,3,FALSE,FALSE,759
Berenice Abbott   ,,0,en.wikipedia.org,11,2342,2341,FALSE,FALSE,56237
Bernice Bing   ,,0,en.wikipedia.org,1,31,31,FALSE,FALSE,226
Berta Rahm   ,,0,en.wikipedia.org,6,5287,5280,TRUE,FALSE,90
Bertha Lum   ,,0,en.wikipedia.org,4,3233,3203,FALSE,FALSE,261
Berthe des Clayes  ,,0,en.wikipedia.org,1,195,195,FALSE,FALSE,41
Berthe Morisot   ,,0,en.wikipedia.org,3,1059,1059,FALSE,FALSE,121830
Beryl Korot   ,,0,en.wikipedia.org,1,2027,2027,FALSE,FALSE,308
Bessie Coleman   ,,0,en.wikipedia.org,1,125,125,FALSE,FALSE,9626
Beth Lipman   ,,0,en.wikipedia.org,1,0,0,FALSE,FALSE,1475
Bethan Huws   ,,0,en.wikipedia.org,1,1844,1844,FALSE,FALSE,81
Bethany Yellowtail   ,,0,en.wikipedia.org,28,2881,2105,FALSE,FALSE,406
Betsey Johnson   ,,0,en.wikipedia.org,1,67,67,FALSE,FALSE,7198
Betsey Stockton   ,,0,en.wikipedia.org,1,4,4,FALSE,FALSE,257
Betsy Damon   ,,0,en.wikipedia.org,8,1405,1257,FALSE,FALSE,144
Bettina Werner   ,,0,en.wikipedia.org,2,1211,1211,FALSE,FALSE,111
Betty Blayton-Taylor   ,,0,en.wikipedia.org,1,0,0,FALSE,FALSE,799
Betty Branch (artist)  ,,0,en.wikipedia.org,3,2207,2207,TRUE,FALSE,90
Betty Cooke   ,,0,en.wikipedia.org,6,1034,1034,FALSE,FALSE,927
Betty Davison   ,,0,en.wikipedia.org,1,0,-11,FALSE,FALSE,18
Betty Friedan   ,,0,en.wikipedia.org,5,521,521,FALSE,FALSE,0
Betty Hahn   ,,0,en.wikipedia.org,1,0,-29,FALSE,FALSE,199
Betty Jean Owens  ,,0,en.wikipedia.org,2,60,60,FALSE,FALSE,1950
Betty Woodman   ,,0,en.wikipedia.org,3,1818,1818,FALSE,FALSE,16207
Betye Saar   ,,0,en.wikipedia.org,1,99,99,FALSE,FALSE,24925
Beulah Woodard   ,,0,en.wikipedia.org,1,619,619,FALSE,FALSE,66
Beverly Buchanan   ,,0,en.wikipedia.org,6,581,440,FALSE,FALSE,248
Beverly Dahlen   ,,0,en.wikipedia.org,2,1116,1115,FALSE,FALSE,33
Beverly Magennis   ,,0,en.wikipedia.org,14,7655,7650,TRUE,FALSE,46
