item,itemLabel,country_of_citizenshipLabel,linkcount,date_of_birth,place_of_birth,place_of_birthLabel,field_of_workLabel,date_of_death
http://www.wikidata.org/entity/Q319569,Sherrie Levine,United States of America,6,1947-04-17T00:00:00Z,http://www.wikidata.org/entity/Q1186937,Hazleton,,
http://www.wikidata.org/entity/Q117012,Yoko Ono,United Kingdom,78,1933-02-18T00:00:00Z,http://www.wikidata.org/entity/Q1490,Tokyo,,
http://www.wikidata.org/entity/Q188375,Lucy Liu,United States of America,62,1968-12-02T00:00:00Z,http://www.wikidata.org/entity/Q1145574,Jackson Heights,,
http://www.wikidata.org/entity/Q535581,Grace Hartigan,United States of America,9,1922-03-28T00:00:00Z,http://www.wikidata.org/entity/Q25395,Newark,,2008-11-15T00:00:00Z
http://www.wikidata.org/entity/Q122006,Uta Barth,United States of America,3,1958-01-29T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,,
http://www.wikidata.org/entity/Q189407,Gloria Stuart,United States of America,54,1910-07-04T00:00:00Z,http://www.wikidata.org/entity/Q47164,Santa Monica,,2010-09-26T00:00:00Z
http://www.wikidata.org/entity/Q156898,Alma Mahler,Austria,41,1879-08-31T00:00:00Z,http://www.wikidata.org/entity/Q1741,Vienna,performing arts,1964-12-11T00:00:00Z
http://www.wikidata.org/entity/Q55192,Gertrude Abercrombie,United States of America,9,1909-02-17T00:00:00Z,http://www.wikidata.org/entity/Q16559,Austin,Surrealist technique,1977-07-03T00:00:00Z
http://www.wikidata.org/entity/Q394503,Agnes Denes,United States of America,9,1938-05-01T00:00:00Z,http://www.wikidata.org/entity/Q1781,Budapest,,
http://www.wikidata.org/entity/Q325739,Marian Zazeela,United States of America,8,1940-04-15T00:00:00Z,http://www.wikidata.org/entity/Q18426,The Bronx,,
http://www.wikidata.org/entity/Q531919,Mabel Alvarez,Spain,8,1891-11-28T00:00:00Z,http://www.wikidata.org/entity/Q131347,Oahu,,1985-03-13T00:00:00Z
http://www.wikidata.org/entity/Q338559,Dorothy Iannone,United States of America,6,1933-01-01T00:00:00Z,http://www.wikidata.org/entity/Q100,Boston,,
http://www.wikidata.org/entity/Q46408,Georgia O'Keeffe,United States of America,71,1887-11-15T00:00:00Z,http://www.wikidata.org/entity/Q1569489,Sun Prairie,art of painting,1986-03-06T00:00:00Z
http://www.wikidata.org/entity/Q156898,Alma Mahler,United States of America,41,1879-08-31T00:00:00Z,http://www.wikidata.org/entity/Q1741,Vienna,performing arts,1964-12-11T00:00:00Z
http://www.wikidata.org/entity/Q532010,Sarah Miriam Peale,United States of America,8,1800-05-19T00:00:00Z,http://www.wikidata.org/entity/Q1345,Philadelphia,,1885-02-04T00:00:00Z
http://www.wikidata.org/entity/Q55192,Gertrude Abercrombie,United States of America,9,1909-02-17T00:00:00Z,http://www.wikidata.org/entity/Q16559,Austin,illustration,1977-07-03T00:00:00Z
http://www.wikidata.org/entity/Q55192,Gertrude Abercrombie,United States of America,9,1909-02-17T00:00:00Z,http://www.wikidata.org/entity/Q16559,Austin,woodcut technique,1977-07-03T00:00:00Z
http://www.wikidata.org/entity/Q139452,Jessie Willcox Smith,United States of America,12,1863-09-06T00:00:00Z,http://www.wikidata.org/entity/Q1345,Philadelphia,,1935-05-03T00:00:00Z
http://www.wikidata.org/entity/Q7531,Louise Nevelson,Russian Empire,22,1899-09-23T00:00:00Z,http://www.wikidata.org/entity/Q639839,Pereiaslav-Khmelnytskyi,,1988-04-17T00:00:00Z
http://www.wikidata.org/entity/Q115853,Alexandra Nechita,United States of America,12,1985-08-27T00:00:00Z,http://www.wikidata.org/entity/Q192269,Vaslui,,
http://www.wikidata.org/entity/Q56102,Eudoxia Woodward,United States of America,2,1919-06-14T00:00:00Z,http://www.wikidata.org/entity/Q816096,Belmont,,2008-01-20T00:00:00Z
http://www.wikidata.org/entity/Q117012,Yoko Ono,United States of America,78,1933-02-18T00:00:00Z,http://www.wikidata.org/entity/Q1490,Tokyo,,
http://www.wikidata.org/entity/Q159409,Louise Bourgeois,France,46,1911-12-25T00:00:00Z,http://www.wikidata.org/entity/Q90,Paris,art of sculpture,2010-05-31T00:00:00Z
http://www.wikidata.org/entity/Q535472,Neith Nevelson,United States of America,4,1946-07-24T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,,
http://www.wikidata.org/entity/Q55192,Gertrude Abercrombie,United States of America,9,1909-02-17T00:00:00Z,http://www.wikidata.org/entity/Q16559,Austin,Mysticism,1977-07-03T00:00:00Z
http://www.wikidata.org/entity/Q122006,Uta Barth,Germany,3,1958-01-29T00:00:00Z,http://www.wikidata.org/entity/Q64,Berlin,,
http://www.wikidata.org/entity/Q460186,Alice Neel,United States of America,13,1900-01-28T00:00:00Z,http://www.wikidata.org/entity/Q5566378,"Gladwyne, Pennsylvania",,1984-10-13T00:00:00Z
http://www.wikidata.org/entity/Q441440,Judy Chicago,United States of America,29,1939-07-20T00:00:00Z,http://www.wikidata.org/entity/Q1297,Chicago,,
http://www.wikidata.org/entity/Q452946,Beata Pozniak,Poland,26,1960-04-30T00:00:00Z,http://www.wikidata.org/entity/Q1792,Gdańsk,,
http://www.wikidata.org/entity/Q453488,Kellye Nakahara,United States of America,6,1950-01-01T00:00:00Z,http://www.wikidata.org/entity/Q131347,Oahu,,
http://www.wikidata.org/entity/Q453639,Eve Plumb,United States of America,13,1958-04-29T00:00:00Z,http://www.wikidata.org/entity/Q39561,Burbank,,
http://www.wikidata.org/entity/Q444567,Kay Sage,United States of America,16,1898-06-25T00:00:00Z,http://www.wikidata.org/entity/Q24861,Albany,,1963-01-08T00:00:00Z
http://www.wikidata.org/entity/Q459871,Patricia Morison,United States of America,25,1915-03-19T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,,2018-05-20T00:00:00Z
http://www.wikidata.org/entity/Q463639,Ana Mendieta,United States of America,18,1948-11-18T00:00:00Z,http://www.wikidata.org/entity/Q1563,Havana,,1985-09-08T00:00:00Z
http://www.wikidata.org/entity/Q450477,Alyssa Monks,United States of America,4,1977-11-27T00:00:00Z,http://www.wikidata.org/entity/Q1677925,Ridgewood,,
http://www.wikidata.org/entity/Q452105,Marissa Nadler,United States of America,12,1981-04-05T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",musical composition,
http://www.wikidata.org/entity/Q452946,Beata Pozniak,United States of America,26,1960-04-30T00:00:00Z,http://www.wikidata.org/entity/Q1792,Gdańsk,,
http://www.wikidata.org/entity/Q442486,Elizabeth Peyton,United States of America,8,1965-01-01T00:00:00Z,http://www.wikidata.org/entity/Q49198,Danbury,,
http://www.wikidata.org/entity/Q456757,Jane Winton,United States of America,10,1905-10-10T00:00:00Z,http://www.wikidata.org/entity/Q1345,Philadelphia,,1959-09-22T00:00:00Z
http://www.wikidata.org/entity/Q452400,Mary Woronov,United States of America,16,1943-12-08T00:00:00Z,http://www.wikidata.org/entity/Q695411,Palm Beach,,
http://www.wikidata.org/entity/Q446518,Heather Hunter,United States of America,19,1969-10-01T00:00:00Z,http://www.wikidata.org/entity/Q18426,The Bronx,,
http://www.wikidata.org/entity/Q459378,Beatrice Wood,United States of America,16,1893-03-03T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,,1998-03-12T00:00:00Z
http://www.wikidata.org/entity/Q449160,Dina Babbitt,United States of America,10,1923-01-21T00:00:00Z,http://www.wikidata.org/entity/Q14960,Brno,art of painting,2009-07-29T00:00:00Z
http://www.wikidata.org/entity/Q447300,Kiki Smith,United States of America,17,1954-01-18T00:00:00Z,http://www.wikidata.org/entity/Q2090,Nuremberg,art of sculpture,
http://www.wikidata.org/entity/Q452105,Marissa Nadler,United States of America,12,1981-04-05T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",fine art,
http://www.wikidata.org/entity/Q449536,Elaine de Kooning,United States of America,10,1918-03-12T00:00:00Z,http://www.wikidata.org/entity/Q18419,Brooklyn,,1989-02-01T00:00:00Z
http://www.wikidata.org/entity/Q447300,Kiki Smith,United States of America,17,1954-01-18T00:00:00Z,http://www.wikidata.org/entity/Q2090,Nuremberg,printmaking,
http://www.wikidata.org/entity/Q448193,Sadie Benning,United States of America,8,1973-04-11T00:00:00Z,http://www.wikidata.org/entity/Q37836,Milwaukee,video art,
http://www.wikidata.org/entity/Q448249,Lucy Bacon,United States of America,10,1857-07-30T00:00:00Z,http://www.wikidata.org/entity/Q3708357,Pitcairn,,1932-10-17T00:00:00Z
http://www.wikidata.org/entity/Q542496,Miriam Schapiro,United States of America,7,1923-11-15T00:00:00Z,http://www.wikidata.org/entity/Q172,Toronto,,2015-06-20T00:00:00Z
http://www.wikidata.org/entity/Q541831,Nancy Graves,United States of America,9,1939-12-23T00:00:00Z,http://www.wikidata.org/entity/Q49184,Pittsfield,,1995-10-21T00:00:00Z
http://www.wikidata.org/entity/Q1422010,Orra White Hitchcock,United States of America,5,1796-03-08T00:00:00Z,http://www.wikidata.org/entity/Q49164,Amherst,,1863-05-26T00:00:00Z
http://www.wikidata.org/entity/Q536197,Chryssa,United States of America,8,1933-12-31T00:00:00Z,http://www.wikidata.org/entity/Q1524,Athens,,2013-12-23T00:00:00Z
http://www.wikidata.org/entity/Q466607,Romaine Brooks,Italy,21,1874-05-01T00:00:00Z,http://www.wikidata.org/entity/Q220,Rome,,1970-12-07T00:00:00Z
http://www.wikidata.org/entity/Q574111,Olivia Peguero,United States of America,3,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3827252,Las Salinas,,
http://www.wikidata.org/entity/Q621627,Alexa Meade,United States of America,9,1986-09-03T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",,
http://www.wikidata.org/entity/Q529514,Jane Emmet de Glehn,United States of America,8,1873-01-01T00:00:00Z,http://www.wikidata.org/entity/Q744948,New Rochelle,,1961-02-20T00:00:00Z
http://www.wikidata.org/entity/Q930069,Norris Church Mailer,United States of America,2,1949-01-31T00:00:00Z,http://www.wikidata.org/entity/Q79210,Atkins,,2010-11-21T00:00:00Z
