name,name_2,wiki,url,edit_count,characters_added,references_added,new,deleted,pageviews,pageviews_link,course_slug,,,,,,,,title,,,,,
Yu Hong   ,Yu Hong,en.wikipedia.org,https://en.wikipedia.org/wiki/Yu_Hong,7,457,-8115,FALSE,FALSE,317,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-07&end=2099-01-01&project=en.wikipedia.org&pages=Yu_Hong,AAA_and_Mplus/Wikipedia_Edit-a-thon_on_Women_Artists_and_Practitioners_in_Asia,,,,,,,,Adelle,Lutz,,,,
Yoshiko    ,Yoshiko,en.wikipedia.org,https://en.wikipedia.org/wiki/Yoshiko,1,70,70,FALSE,FALSE,460,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-07-07&end=2099-01-01&project=en.wikipedia.org&pages=Yoshiko,Haystack_Mountain_School_of_Crafts/Haystack_Summer_Conference,,,,,,,,Adelyn,Dohme,Breeskin,,,
Yolanda Wisher   ,Yolanda Wisher,en.wikipedia.org,https://en.wikipedia.org/wiki/Yolanda_Wisher,1,336,336,FALSE,FALSE,1315,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-13&end=2099-01-01&project=en.wikipedia.org&pages=Yolanda_Wisher,Temple_University/Philadelphia_ArtandFeminism_2018_(2018),,,,,,,,Adetoun,Ogunsheye,,,,
Yolanda Lopez   ,Yolanda Lopez,en.wikipedia.org,https://en.wikipedia.org/wiki/Yolanda_Lopez,7,1030,840,FALSE,FALSE,6517,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-08&end=2099-01-01&project=en.wikipedia.org&pages=Yolanda_Lopez,SFMOMA/SF_SFMOMA_ArtAndFeminism_2018,,,,,,,,Adhyaan,,,,,
Yoko Ono   ,Yoko Ono,en.wikipedia.org,https://en.wikipedia.org/wiki/Yoko_Ono,3,200,197,FALSE,FALSE,2392273,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-04&end=2099-01-01&project=en.wikipedia.org&pages=Yoko_Ono,Kickstarter/Kickstarter_ArtandFeminism_2018,,,,,,,,Adolfo,Venturi,,,,
Yin Xiuzhen   ,Yin Xiuzhen,en.wikipedia.org,https://en.wikipedia.org/wiki/Yin_Xiuzhen,2,10972,10972,FALSE,FALSE,205,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-07&end=2099-01-01&project=en.wikipedia.org&pages=Yin_Xiuzhen,Harn_Museum/Gainesville_Harn_ArtAndFeminism2018,,,,,,,,Adrian,Piper,,,,
Yevonde Middleton   ,Yevonde Middleton,en.wikipedia.org,https://en.wikipedia.org/wiki/Yevonde_Middleton,2,34,34,FALSE,FALSE,168,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-17&end=2099-01-01&project=en.wikipedia.org&pages=Yevonde_Middleton,Artexte_MACM/Montreal_Artexte_ArtAndFeminism2018,,,,,,,,Adrienne,Gorska,,,,
Yennenga    ,Yennenga,en.wikipedia.org,https://en.wikipedia.org/wiki/Yennenga,1,131,131,FALSE,FALSE,2302,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Yennenga,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Afia,Pokua,,,,
Yelena Yemchuk   ,Yelena Yemchuk,en.wikipedia.org,https://en.wikipedia.org/wiki/Yelena_Yemchuk,1,2114,2114,FALSE,FALSE,3909,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-05-02&end=2099-01-01&project=en.wikipedia.org&pages=Yelena_Yemchuk,"Jacob_Lawrence_Gallery/Art_Now_Sections_Wikipedia_Edit-a-Thon_(May_2,_2018)",,,,,,,,Aganetha,Dyck,,,,
Yeffe Kimball   ,Yeffe Kimball,en.wikipedia.org,https://en.wikipedia.org/wiki/Yeffe_Kimball,3,11738,11738,TRUE,FALSE,114,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-21&end=2099-01-01&project=en.wikipedia.org&pages=Yeffe_Kimball,University_of_Northern_Iowa/Rod_Library_ArtAndFeminism_2018,,,,,,,,Agathe,Aladin,,,,
Yayoi Kusama   ,Yayoi Kusama,en.wikipedia.org,https://en.wikipedia.org/wiki/Yayoi_Kusama,2,0,-4,FALSE,FALSE,825036,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-10&end=2099-01-01&project=en.wikipedia.org&pages=Yayoi_Kusama,Purchase/Purchase_ArtandFeminism_2018,,,,,,,,Agbani,Darego,,,,
Yajaira Sierra-Sastre   ,Yajaira Sierra-Sastre,en.wikipedia.org,https://en.wikipedia.org/wiki/Yajaira_Sierra-Sastre,2,216,216,FALSE,FALSE,963,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-06-02&end=2099-01-01&project=en.wikipedia.org&pages=Yajaira_Sierra-Sastre,Caveat/500_Women_Scientists,,,,,,,,Agnes,Lefort,,,,
Yaa Asantewaa   ,Yaa Asantewaa,en.wikipedia.org,https://en.wikipedia.org/wiki/Yaa_Asantewaa,1,1038,1038,FALSE,FALSE,72213,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Yaa_Asantewaa,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Agnes,Varda,,,,
Y.G. Srimati   ,Y.G. Srimati,en.wikipedia.org,https://en.wikipedia.org/wiki/Y.G._Srimati,2,4138,4138,TRUE,FALSE,1612,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-03&end=2099-01-01&project=en.wikipedia.org&pages=Y.G._Srimati,KNMA/Delhi_ArtAndFeminism_2018,,,,,,,,Agnes,Alfred,,,,
Xylor Jane   ,Xylor Jane,en.wikipedia.org,https://en.wikipedia.org/wiki/Xylor_Jane,1,141,141,FALSE,FALSE,58,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-07&end=2099-01-01&project=en.wikipedia.org&pages=Xylor_Jane,UNC-CH/UNC_Sloane_ArtAndFeminism_2018,,,,,,,,Agnes,and,Margaret,Smith,,
Xing Danwen   ,Xing Danwen,en.wikipedia.org,https://en.wikipedia.org/wiki/Xing_Danwen,3,4385,4385,TRUE,FALSE,698,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-07&end=2099-01-01&project=en.wikipedia.org&pages=Xing_Danwen,AAA_and_Mplus/Wikipedia_Edit-a-thon_on_Women_Artists_and_Practitioners_in_Asia,,,,,,,,Agnes,Arber,,,,
Ximena Cuevas   ,Ximena Cuevas,en.wikipedia.org,https://en.wikipedia.org/wiki/Ximena_Cuevas,1,49,49,FALSE,FALSE,902,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-15&end=2099-01-01&project=en.wikipedia.org&pages=Ximena_Cuevas,OtisCollege/LA_OtisCollege_ArtAndFeminism_2018,,,,,,,,Agnes,Denes,,,,
Xenokrates of Sicyon  ,Xenokrates of Sicyon,en.wikipedia.org,https://en.wikipedia.org/wiki/Xenokrates_of_Sicyon,1,39,39,FALSE,FALSE,97,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Xenokrates_of_Sicyon,MIT/Art_and_Feminism_Wikipedia_Edit-a-thon,,,,,,,,Agnes,Martin,,,,
Xenobia Bailey   ,Xenobia Bailey,en.wikipedia.org,https://en.wikipedia.org/wiki/Xenobia_Bailey,3,14,-67,FALSE,FALSE,1129,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-01-18&end=2099-01-01&project=en.wikipedia.org&pages=Xenobia_Bailey,Montana_State_University/Bozeman_ArtAndFeminism_2018,,,,,,,,Ailsa,Mellon,Bruce,,,
Xaviera Simmons   ,Xaviera Simmons,en.wikipedia.org,https://en.wikipedia.org/wiki/Xaviera_Simmons,2,8,8,FALSE,FALSE,1020,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-10&end=2099-01-01&project=en.wikipedia.org&pages=Xaviera_Simmons,Triangle_Arts_Association/BLT_hosts_Art_and_Feminism_2018_at_Triangle,,,,,,,,Aino,Aalto,,,,
Wura-Natasha Ogunji   ,Wura-Natasha Ogunji,en.wikipedia.org,https://en.wikipedia.org/wiki/Wura-Natasha_Ogunji,2,1163,1163,FALSE,FALSE,1066,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-02-22&end=2099-01-01&project=en.wikipedia.org&pages=Wura-Natasha_Ogunji,"The_Menil_Collection/Houston_Menil_ArtAndFeminism_2018_(February_22,_2018_from_12-7pm)",,,,,,,,Aisha,Cousins,,,,
Wong Wai Yin  ,Wong Wai Yin,en.wikipedia.org,https://en.wikipedia.org/wiki/Wong_Wai_Yin,2,129,129,FALSE,FALSE,1005,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-02&end=2099-01-01&project=en.wikipedia.org&pages=Wong_Wai_Yin,Hong_Kong_Libraries_Connect/HKLC_ArtAndFeminism_2018,,,,,,,,Aisha,Sabatini,Sloan,,,
Winifred Ann Lutz  ,Winifred Ann Lutz,en.wikipedia.org,https://en.wikipedia.org/wiki/Winifred_Ann_Lutz,2,2243,2243,FALSE,FALSE,77,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-25&end=2099-01-01&project=en.wikipedia.org&pages=Winifred_Ann_Lutz,Carnegie_Museum_of_Art/Art_and_Feminism_Pittsburgh,,,,,,,,Aishah,Shahidah,Simmons,,,
Willie McClendon   ,Willie McClendon,en.wikipedia.org,https://en.wikipedia.org/wiki/Willie_McClendon,1,4,4,FALSE,FALSE,173,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-02-24&end=2099-01-01&project=en.wikipedia.org&pages=Willie_McClendon,Jacob_Lawrence_Gallery/Seattle_Jacob_Lawrence_Gallery_AF_2018,,,,,,,,Ajamu,X,,,,
Willie Anne Wright  ,Willie Anne Wright,en.wikipedia.org,https://en.wikipedia.org/wiki/Willie_Anne_Wright,10,1803,1803,FALSE,FALSE,74,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-01&end=2099-01-01&project=en.wikipedia.org&pages=Willie_Anne_Wright,William_and_Mary_Libraries/Art_and_Feminism_Wikipedia_Edit-a-thon_(April_10th-11th),,,,,,,,Ajuan,Mance,,,,
William Pope.L   ,William Pope.L,en.wikipedia.org,https://en.wikipedia.org/wiki/William_Pope.L,1,63,63,FALSE,FALSE,9129,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-10&end=2099-01-01&project=en.wikipedia.org&pages=William_Pope.L,Triangle_Arts_Association/BLT_hosts_Art_and_Feminism_2018_at_Triangle,,,,,,,,Akiko,Higashimura,,,,
Wilhelm Worringer   ,Wilhelm Worringer,en.wikipedia.org,https://en.wikipedia.org/wiki/Wilhelm_Worringer,1,0,-12,FALSE,FALSE,516,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Wilhelm_Worringer,MIT/Art_and_Feminism_Wikipedia_Edit-a-thon,,,,,,,,Akimi,Yoshida,,,,
Wilhelm Martin   ,Wilhelm Martin,en.wikipedia.org,https://en.wikipedia.org/wiki/Wilhelm_Martin,1,0,-8,FALSE,FALSE,25,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Wilhelm_Martin,MIT/Art_and_Feminism_Wikipedia_Edit-a-thon,,,,,,,,Al,Capp,,,,
Wilhelm Abraham Teller  ,Wilhelm Abraham Teller,en.wikipedia.org,https://en.wikipedia.org/wiki/Wilhelm_Abraham_Teller,1,494,494,FALSE,FALSE,197,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-07&end=2099-01-01&project=en.wikipedia.org&pages=Wilhelm_Abraham_Teller,AAA_and_Mplus/Wikipedia_Edit-a-thon_on_Women_Artists_and_Practitioners_in_Asia,,,,,,,,Alan,Marshall,,,,
Whitney Davis   ,Whitney Davis,en.wikipedia.org,https://en.wikipedia.org/wiki/Whitney_Davis,3,2527,2527,TRUE,TRUE,316,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-03&end=2099-01-01&project=en.wikipedia.org&pages=Whitney_Davis,Transylvania_University/Transylvania_Liberal_Arts_and_Feminism,,,,,,,,Alana,Bartol,,,,
Whitfield Lovell   ,Whitfield Lovell,en.wikipedia.org,https://en.wikipedia.org/wiki/Whitfield_Lovell,9,2914,2914,FALSE,FALSE,2708,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Whitfield_Lovell,MIT/Art_and_Feminism_Wikipedia_Edit-a-thon,,,,,,,,Alessandra,Comini,,,,
Whetu Tirikatene-Sullivan   ,Whetu Tirikatene-Sullivan,en.wikipedia.org,https://en.wikipedia.org/wiki/Whetu_Tirikatene-Sullivan,1,389,389,FALSE,FALSE,168,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-23&end=2099-01-01&project=en.wikipedia.org&pages=Whetu_Tirikatene-Sullivan,New_Zealand_Fashion_Museum/Art_and_Feminism_(Saturday_24_March_2018),,,,,,,,Alex,Fierro,,,,
Wendy Red Star  ,Wendy Red Star,en.wikipedia.org,https://en.wikipedia.org/wiki/Wendy_Red_Star,1,338,338,FALSE,FALSE,7487,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-02&end=2099-01-01&project=en.wikipedia.org&pages=Wendy_Red_Star,MoMA/MoMA_ArtAndFeminism_2018,,,,,,,,Alex,Katz,,,,
Wendy Ponca   ,Wendy Ponca,en.wikipedia.org,https://en.wikipedia.org/wiki/Wendy_Ponca,1,171,171,FALSE,FALSE,195,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-17&end=2099-01-01&project=en.wikipedia.org&pages=Wendy_Ponca,Bard_Graduate_Center/Bard_Graduate_Center_ArtandFeminism_2018,,,,,,,,Alex,Mawimbi,,,,
Wendy Paramor   ,Wendy Paramor,en.wikipedia.org,https://en.wikipedia.org/wiki/Wendy_Paramor,11,1225,974,FALSE,FALSE,81,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-01&end=2099-01-01&project=en.wikipedia.org&pages=Wendy_Paramor,Cornell_University/Ithaca_Art_and_Feminism_2018,,,,,,,,Alexandra,Bell,,,,
