Name,,List
Anastasia Kelesidou,Anastasia Kelesidou,List of female golfers
Anastasia Kostaki,Anastasia Kostaki,Chronological list of women's Grand Slam tennis champions
Anastasia Myskina,Anastasia Myskina,List of female golfers
Andréia dos Santos,Andréia dos Santos,List of FIFA Women's World Cup goalscorers
Andrea Anderson,Andrea Anderson,List of Olympic medalists in athletics (women)
Andrea Congreaves,Andrea Congreaves,List of Women's National Basketball Association players
Andrea Gardner,Andrea Gardner,Chronological list of women's Grand Slam tennis champions
Andrea Garner,Andrea Garner,List of FIFA Women's World Cup goalscorers
Andrea Hoover,Andrea Hoover,List of Olympic medalists in athletics (women)
Andrea Kuklova,Andrea Kuklova,List of Women's National Basketball Association players
Andrea Lee (fighter),Andrea Lee (fighter),List of Women's National Basketball Association players
Andrea Lloyd Curry,Andrea Lloyd Curry,List of Women's National Basketball Association players
Andrea Nagy,Andrea Nagy,List of Women's National Basketball Association players
Andrea Riley,Andrea Riley,List of Women's National Basketball Association players
Andrea Stinson,Andrea Stinson,List of female kickboxers
Andressa Alves da Silva,Andressa Alves da Silva,List of Women's National Basketball Association players
Andria Lloyd,Andria Lloyd,List of Women's National Basketball Association players
Ane Stangeland Horpestad,Ane Stangeland Horpestad,List of Women's National Basketball Association players
Aneika Henry,Aneika Henry,List of Women's National Basketball Association players
Aneta Kausaite,Aneta Kausaite,List of FIFA Women's World Cup goalscorers
Anete Jekabsone-Zogota,Anete Jekabsone-Zogota,List of Olympic medalists in athletics (women)
Anette Rückes,Anette Rückes,List of FIFA Women's World Cup goalscorers
Angéla Németh,Angéla Németh,List of Women's National Basketball Association players
Angel Goodrich,Angel Goodrich,List of Women's National Basketball Association players
Angel McCoughtry,Angel McCoughtry,List of Women's National Basketball Association players
Angela Aycock,Angela Aycock,List of Olympic medalists in athletics (women)
Angela Bailey,Angela Bailey,List of Olympic medalists in athletics (women)
Angela Chalmers,Angela Chalmers,List of Women's National Basketball Association players
Angela Hill (fighter),Angela Hill (fighter),List of Women's National Basketball Association players
Angela Iannotta,Angela Iannotta,List of Women's National Basketball Association players
Angela Jackson,Angela Jackson,List of Olympic medalists in athletics (women)
Angela James,Angela James,List of Olympic medalists in athletics (women)
Angela Mortimer Barrett,Angela Mortimer Barrett,List of female kickboxers
Angela Park,Angela Park,List of FIFA Women's World Cup goalscorers
Angela Rivera-Parr,Angela Rivera-Parr,List of Women's National Basketball Association players
Angela Robinson (basketball),Angela Robinson (basketball),List of sportswomen
